global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
50,0,-5.47548,50,0.9998,,,74.19,11.9125,0.7,567.9
100,1,-1.51301,50,0.9997,,,79.645,5.4142,0.44,130.09
150,2,-1.17673,50,0.9995,,,71.21,4.211,0.36,113.98
200,3,-1.09104,50,0.9994,,,63.335,4.4079,0.4,93.54
250,4,-1.90727,50,0.9992,,,71.51,5.792,0.46,190.43
300,5,-3.87044,50,0.999,,,68.8,9.3403,0.64,386.95
350,6,-2.97158,50,0.9989,,,61.334,7.5722,0.66,288.42
400,7,-2.17724,50,0.9987,,,62.119,6.3836,0.6,208.9
450,8,-1.40023,50,0.9986,,,69.849,5.122,0.54,126.02
500,9,-2.18818,50,0.9984,,,74.231,6.0251,0.54,218.01
550,10,-1.91033,50,0.9983,,,66.127,5.3844,0.52,184.84
600,11,-1.99902,50,0.9981,,,69.998,5.6026,0.48,201.31
650,12,-2.76509,50,0.9979,,,74.267,7.4705,0.62,260.69
700,13,-1.88145,50,0.9978,,,68.54,5.5514,0.46,181.91
750,14,-0.02488,50,0.9976,,,57.821,1.4342,0.08,8.97
800,15,-4.62128,50,0.9975,,,72.287,11.052,0.72,451.88
850,16,-3.46699,50,0.9973,,,73.68,8.6954,0.6,344.93
900,17,-1.71758,50,0.9971,,,73.022,5.3929,0.6,163.28
950,18,-0.99793,50,0.997,,,68.929,4.0888,0.32,86.09
1000,19,-3.37044,50,0.9968,,,69.201,8.5469,0.62,330.72
1050,20,-3.88351,50,0.9967,,,68.8,9.0964,0.68,401.39
1100,21,-2.69685,50,0.9965,,,64.361,7.9528,0.56,244.24
1150,22,-0.37978,50,0.9964,,,65.706,2.4911,0.28,27.71
1200,23,-1.16743,50,0.9962,,,62.598,4.1141,0.38,112.04
1250,24,-1.82635,50,0.996,,,70.342,5.4605,0.46,168.9
1300,25,-2.48366,50,0.9959,,,71.314,7.3643,0.6,229.69
1350,26,-0.40479,50,0.9957,,,66.16,2.9346,0.3,34.49
1400,27,-1.01625,50,0.9956,,,69.639,3.5595,0.32,96.82
1450,28,-1.25036,50,0.9954,,,67.443,3.7201,0.36,136.79
1500,29,-0.36536,50,0.9952,,,73.588,3.0522,0.26,19.18
1550,30,-3.86537,50,0.9951,,,68.239,9.6395,0.66,376.69
1600,31,-1.17985,50,0.9949,,,65.017,3.787,0.4,116.3
1650,32,-1.32516,50,0.9948,,,73.418,4.8948,0.38,108.69
1700,33,-2.37592,50,0.9946,,,70.588,6.3886,0.6,228.97
1750,34,-2.93105,50,0.9945,,,71.504,7.3943,0.52,289.88
1800,35,-4.19055,50,0.9943,,,74.208,10.4347,0.6,399.55
1850,36,-1.04159,50,0.9941,,,65.242,3.4523,0.36,103.2
1900,37,-3.45484,50,0.994,,,65.392,8.8554,0.6,334.45
1950,38,-1.58117,50,0.9938,,,69.464,4.832,0.38,154.07
2000,39,-0.27805,50,0.9937,,,69.57,1.9983,0.14,23.22
2050,40,-5.8981,50,0.9935,,,70.608,13.3298,0.76,590.28
2100,41,-0.46078,50,0.9933,,,60.484,2.5125,0.36,41.73
2150,42,0.01175,50,0.9932,,,76.808,1.1352,0.12,6.14
2200,43,-0.62386,50,0.993,,,67.511,3.1471,0.32,50.4
2250,44,0.02223,50,0.9929,,,66.082,1.0358,0.04,4.88
2300,45,-0.17255,50,0.9927,,,61.63,1.9155,0.1,14.61
2350,46,-2.01212,50,0.9926,,,72.174,6.7624,0.48,168.9
2400,47,-0.06951,50,0.9924,,,76.865,1.3573,0.1,7.71
2450,48,-0.08408,50,0.9922,,,62.986,1.3064,0.12,14.74
2500,49,-1.89636,50,0.9921,,,68.362,5.5481,0.5,177.21
2550,50,-0.46053,50,0.9919,,,65.969,2.8833,0.26,34.42
2600,51,-1.18426,50,0.9918,,,64.501,4.9201,0.38,93.95
2650,52,-2.21575,50,0.9916,,,62.949,5.3818,0.44,245.23
2700,53,-4.03852,50,0.9915,,,73.188,9.2158,0.68,417.23
2750,54,-1.12364,50,0.9913,,,67.449,3.98,0.4,101.68
2800,55,-1.62397,50,0.9911,,,71.181,5.7646,0.48,139.73
2850,56,-2.61342,50,0.991,,,75.648,7.1978,0.54,250.53
2900,57,-2.4294,50,0.9908,,,75.512,6.8758,0.5,229.07
2950,58,-3.22237,50,0.9907,,,75.175,7.7387,0.6,325.68
3000,59,-0.69325,50,0.9905,,,65.776,2.7161,0.28,72.65
3050,60,-3.8085,50,0.9903,,,69.002,9.1283,0.76,384.52
3100,61,-1.03515,50,0.9902,,,69.142,4.4773,0.48,77.08
3150,62,-0.05455,50,0.99,,,77.847,0.7685,0.08,11.83
3200,63,-4.30703,50,0.9899,,,68.577,9.0789,0.66,460.88
3250,64,-1.0988,50,0.9897,,,69.718,3.8006,0.36,103.52
3300,65,-1.12327,50,0.9896,,,72.699,4.9239,0.44,87.86
3350,66,-1.31239,50,0.9894,,,64.809,4.5683,0.46,116.03
3400,67,-1.49498,50,0.9892,,,72.463,5.5073,0.42,119.13
3450,68,-1.08604,50,0.9891,,,69.807,4.2263,0.32,89.4
3500,69,-0.06714,50,0.9889,,,73.973,1.1663,0.1,11.09
3550,70,-2.22177,50,0.9888,,,75.785,6.0331,0.42,226.59
3600,71,-2.75173,50,0.9886,,,67.27,7.6831,0.68,252.99
3650,72,-3.8037,50,0.9884,,,67.889,7.6684,0.64,421.18
3700,73,-1.66662,50,0.9883,,,69.729,4.7325,0.52,167.52
3750,74,-0.77526,50,0.9881,,,68.969,3.4126,0.32,75.33
3800,75,-2.66057,50,0.988,,,66.789,6.667,0.58,268.02
3850,76,-2.05103,50,0.9878,,,76.958,6.4334,0.54,181.15
3900,77,-1.64074,50,0.9877,,,76.912,5.5444,0.46,147.29
