global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
50,0,-7.64813,50,0.9998,,,74.19,12.919,0.64,868.71
100,1,-2.99278,50,0.9997,,,80.264,6.5342,0.44,324.44
150,2,-1.90863,50,0.9995,,,71.024,4.8231,0.36,209.07
200,3,-1.59273,50,0.9994,,,62.885,4.7255,0.4,161.05
250,4,-2.89306,50,0.9992,,,70.26,5.6745,0.44,341.88
300,5,-5.42674,50,0.999,,,70.694,10.0987,0.66,600.23
350,6,-3.45065,50,0.9989,,,61.944,8.3154,0.7,341.42
400,7,-3.45973,50,0.9987,,,64.467,6.9747,0.6,384.48
450,8,-4.01375,50,0.9986,,,69.279,5.7732,0.42,502.55
500,9,-2.95601,50,0.9984,,,74.603,5.692,0.5,341.55
550,10,-2.14091,50,0.9983,,,66.279,5.4253,0.44,218.25
600,11,-4.19723,50,0.9981,,,71.998,6.7697,0.48,501.19
650,12,-3.89032,50,0.9979,,,70.198,8.0341,0.48,418.5
700,13,-3.18957,50,0.9978,,,70.685,6.2209,0.44,360.0
750,14,-0.12089,50,0.9976,,,59.388,1.6082,0.14,18.04
800,15,-5.62059,50,0.9975,,,73.037,12.1137,0.76,574.7
850,16,-4.17961,50,0.9973,,,74.979,8.8,0.5,448.55
900,17,-3.03982,50,0.9971,,,73.451,6.2087,0.48,341.39
950,18,-1.49201,50,0.997,,,68.912,4.2367,0.28,156.57
1000,19,-5.30843,50,0.9968,,,73.193,10.1696,0.54,578.31
1050,20,-5.46447,50,0.9967,,,70.832,10.1589,0.66,610.64
1100,21,-3.14082,50,0.9965,,,66.006,8.2877,0.58,301.2
1150,22,-0.42261,50,0.9964,,,66.139,2.3743,0.18,36.69
1200,23,-2.48277,50,0.9962,,,63.052,4.9691,0.46,288.17
1250,24,-2.431,50,0.996,,,67.675,6.0067,0.52,248.71
1300,25,-3.70162,50,0.9959,,,72.277,7.7692,0.66,401.87
1350,26,-0.59038,50,0.9957,,,69.731,2.7797,0.22,63.67
1400,27,-1.27125,50,0.9956,,,68.471,4.1845,0.32,120.72
1450,28,-0.88967,50,0.9954,,,70.4,2.9248,0.28,100.41
1500,29,-1.00416,50,0.9952,,,78.598,3.372,0.26,103.33
1550,30,-4.165,50,0.9951,,,66.598,9.9315,0.64,415.73
1600,31,-1.4801,50,0.9949,,,64.375,4.1503,0.4,152.88
1650,32,-2.07868,50,0.9948,,,70.684,5.5218,0.38,208.39
1700,33,-3.28183,50,0.9946,,,68.76,6.5785,0.56,361.35
1750,34,-3.74312,50,0.9945,,,70.596,6.9563,0.4,423.45
1800,35,-5.25657,50,0.9943,,,72.142,12.0743,0.66,519.95
1850,36,-1.38635,50,0.9941,,,65.242,3.6621,0.26,149.88
1900,37,-6.38379,50,0.994,,,66.925,9.8879,0.64,746.95
1950,38,-1.98716,50,0.9938,,,66.987,5.4005,0.34,202.84
2000,39,-0.66796,50,0.9937,,,69.758,2.3951,0.16,71.33
2050,40,-7.01285,50,0.9935,,,71.097,14.1341,0.76,736.83
2100,41,-1.26084,50,0.9933,,,60.942,3.4689,0.38,137.89
