global_step,episode,episode_return,episode_length,epsilon,loss,mean_q,makespan,avg_waiting_time,missed_deadlines,weighted_tardiness
50,0,-2.60158,50,0.9998,,,78.155,5.2836,0.4,305.68
100,1,-1.27338,50,0.9997,,,76.05,4.0318,0.3,122.38
150,2,-3.32485,50,0.9995,,,65.732,7.7751,0.42,347.01
200,3,-3.71359,50,0.9994,,,73.039,8.3957,0.48,382.73
250,4,-0.14492,50,0.9992,,,68.107,1.4421,0.14,14.81
300,5,-4.41744,50,0.999,,,72.611,9.9314,0.58,450.16
350,6,-4.25609,50,0.9989,,,69.322,9.1474,0.58,453.4
400,7,-2.50867,50,0.9987,,,69.094,5.7301,0.44,268.34
450,8,-5.32204,50,0.9986,,,71.182,10.6555,0.7,568.36
500,9,-0.96807,50,0.9984,,,65.197,3.0135,0.34,103.11
550,10,-5.87577,50,0.9983,,,72.795,11.9711,0.66,614.54
600,11,-0.76395,50,0.9981,,,65.742,2.6118,0.18,83.57
650,12,-4.84343,50,0.9979,,,80.62,9.6548,0.62,520.6
700,13,-3.50052,50,0.9978,,,65.558,7.5344,0.6,375.59
750,14,-2.83177,50,0.9976,,,74.312,5.5288,0.44,317.26
800,15,-3.1844,50,0.9975,,,67.166,6.6967,0.4,347.71
850,16,-1.56917,50,0.9973,,,62.954,4.0919,0.46,176.32
900,17,-4.1272,50,0.9971,,,66.25,7.5085,0.54,467.12
950,18,-4.62672,50,0.997,,,70.55,9.2501,0.58,502.25
1000,19,-0.37215,50,0.9968,,,68.032,1.8087,0.16,47.37
1050,20,-3.24815,50,0.9967,,,63.032,7.4606,0.48,336.44
1100,21,-1.69153,50,0.9965,,,72.422,4.2813,0.32,184.25
1150,22,-4.12146,50,0.9964,,,70.033,8.2684,0.6,450.33
1200,23,-0.77833,50,0.9962,,,69.7,2.1963,0.22,98.31
1250,24,-2.78976,50,0.996,,,65.973,6.9743,0.5,278.0
1300,25,-0.92033,50,0.9959,,,69.027,3.2475,0.28,92.76
1350,26,-3.38253,50,0.9957,,,64.804,7.0892,0.5,373.06
1400,27,-0.31588,50,0.9956,,,67.867,1.788,0.1,40.07
1450,28,-3.22983,50,0.9954,,,71.37,8.2621,0.52,311.1
1500,29,-2.94927,50,0.9952,,,61.345,7.6439,0.54,290.43
1550,30,-2.07541,50,0.9951,,,70.387,4.11,0.34,246.35
1600,31,-7.02762,50,0.9949,,,69.114,12.9223,0.64,772.04
1650,32,-2.36263,50,0.9948,,,65.988,5.8015,0.5,243.18
1700,33,-3.8935,50,0.9946,,,72.371,7.6405,0.5,429.26
1750,34,-3.63932,50,0.9945,,,69.605,5.5618,0.3,446.34
1800,35,-4.28751,50,0.9943,,,65.352,8.0602,0.56,479.95
1850,36,-0.54458,50,0.9941,,,73.998,1.8844,0.18,65.07
1900,37,-5.11986,50,0.994,,,66.514,11.1853,0.68,527.75
1950,38,-3.45929,50,0.9938,,,72.786,6.3325,0.5,396.24
2000,39,-2.85745,50,0.9937,,,71.791,6.9555,0.46,291.13
2050,40,-4.31388,50,0.9935,,,75.089,9.8885,0.62,432.07
2100,41,-0.84012,50,0.9933,,,68.01,2.4646,0.26,103.49
